#  omega1f=3.93 rad/s,  omega1e=6.10 rad/s  and omega2f=11.28 rad/s
# r [m]   u1fy [m]   u1fz [m]   u1ey [m]    u1ez [m]    u2fy [m]     u2fz [m]     m [kg/m]
2.8000        0         0         0            0          0             0          1189.51
11.0027    0.0001    0.0018     0.0057     -0.0003        0.0001       -0.0048     1113.62
16.8710    0.0005    0.0056     0.0171     -0.0008        0.0002       -0.0143     868.870
22.9641    0.0014    0.0137     0.0373     -0.0011       -0.0002       -0.0323     735.790
32.3076    0.0043    0.0398     0.0874     -0.0012       -0.0018       -0.0804     566.230
41.5730    0.0091    0.0916     0.1621     -0.0027       -0.0036       -0.1484     477.510
50.4111    0.0155    0.1729     0.2586     -0.0075       -0.0038       -0.2062     385.140
58.5344    0.0229    0.2814     0.3710     -0.0170       -0.0013       -0.2104     291.660
65.7501    0.0306    0.4088     0.4914     -0.0312        0.0040       -0.1291     221.770
71.9675    0.0378    0.5416     0.6103     -0.0485        0.0112        0.0346     153.750
77.1860    0.0443    0.6689     0.7201     -0.0667        0.0191        0.2544     108.930
78.7133    0.0463    0.7085     0.7537     -0.0726        0.0217        0.3331      95.1800
80.1402    0.0481    0.7464     0.7855     -0.0784        0.0242        0.4123      82.3400
82.7085    0.0515    0.8164     0.8438     -0.0892        0.0290        0.5676      68.2800
84.9252    0.0544    0.8783     0.8948     -0.0989        0.0333        0.7114      54.4700
86.8265    0.0569    0.9319     0.9388     -0.1073        0.0370        0.8392      40.6500
88.4487    0.0591    0.9778     0.9764     -0.1146        0.0402        0.9500      25.2000
89.1660    0.0601    0.9982     0.9930     -0.1178        0.0417        0.9991      15.4200
